"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"261","United Kingdom","Anguilla",3,1,0,2020-04-17
"262","United Kingdom","Bermuda",83,35,5,2020-04-17
"263","United Kingdom","British Virgin Islands",4,2,0,2020-04-17
"264","United Kingdom","Cayman Islands",61,7,1,2020-04-17
"265","United Kingdom","Channel Islands",470,73,20,2020-04-17
"266","United Kingdom","Falkland Islands (Malvinas)",11,1,0,2020-04-17
"267","United Kingdom","Gibraltar",132,105,0,2020-04-17
"268","United Kingdom","Isle of Man",291,169,4,2020-04-17
"269","United Kingdom","Montserrat",11,1,0,2020-04-17
"270","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-17
"271","Germany","",141397,83114,4352,2020-04-17
"272","Italy","",172434,42727,22745,2020-04-17
"273","Switzerland","",27078,16400,1327,2020-04-17
"274","United Kingdom","",108692,0,14576,2020-04-17
"275","United Kingdom","Anguilla",3,1,0,2020-04-18
"276","United Kingdom","Bermuda",83,35,5,2020-04-18
"277","United Kingdom","British Virgin Islands",4,2,0,2020-04-18
"278","United Kingdom","Cayman Islands",61,7,1,2020-04-18
"279","United Kingdom","Channel Islands",484,73,21,2020-04-18
"280","United Kingdom","Falkland Islands (Malvinas)",11,3,0,2020-04-18
"281","United Kingdom","Gibraltar",132,111,0,2020-04-18
"282","United Kingdom","Isle of Man",297,180,6,2020-04-18
"283","United Kingdom","Montserrat",11,2,0,2020-04-18
"284","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-18
"285","Germany","",143342,85400,4459,2020-04-18
"286","Italy","",175925,44927,23227,2020-04-18
"287","Switzerland","",27404,17100,1368,2020-04-18
"288","United Kingdom","",114217,0,15464,2020-04-18
"289","United Kingdom","Anguilla",3,1,0,2020-04-19
"290","United Kingdom","Bermuda",86,35,5,2020-04-19
"291","United Kingdom","British Virgin Islands",4,2,1,2020-04-19
"292","United Kingdom","Cayman Islands",61,7,1,2020-04-19
"293","United Kingdom","Channel Islands",488,73,21,2020-04-19
"294","United Kingdom","Falkland Islands (Malvinas)",11,3,0,2020-04-19
"295","United Kingdom","Gibraltar",132,120,0,2020-04-19
"296","United Kingdom","Isle of Man",298,193,6,2020-04-19
"297","United Kingdom","Montserrat",11,2,0,2020-04-19
"298","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-19
"299","Germany","",145184,88000,4586,2020-04-19
"300","Italy","",178972,47055,23660,2020-04-19
"301","Switzerland","",27740,17800,1393,2020-04-19
"302","United Kingdom","",120067,0,16060,2020-04-19
"303","United Kingdom","Anguilla",3,1,0,2020-04-20
"304","United Kingdom","Bermuda",86,37,5,2020-04-20
"305","United Kingdom","British Virgin Islands",5,3,1,2020-04-20
"306","United Kingdom","Cayman Islands",66,7,1,2020-04-20
"307","United Kingdom","Channel Islands",488,73,24,2020-04-20
"308","United Kingdom","Falkland Islands (Malvinas)",11,3,0,2020-04-20
"309","United Kingdom","Gibraltar",132,120,0,2020-04-20
"310","United Kingdom","Isle of Man",300,200,9,2020-04-20
"311","United Kingdom","Montserrat",11,2,0,2020-04-20
"312","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-20
"313","Germany","",147065,91500,4862,2020-04-20
"314","Italy","",181228,48877,24114,2020-04-20
"315","Switzerland","",27944,18600,1429,2020-04-20
"316","United Kingdom","",124743,0,16509,2020-04-20
"317","United Kingdom","Anguilla",3,1,0,2020-04-21
"318","United Kingdom","Bermuda",86,37,5,2020-04-21
"319","United Kingdom","British Virgin Islands",5,3,1,2020-04-21
"320","United Kingdom","Cayman Islands",66,7,1,2020-04-21
"321","United Kingdom","Channel Islands",496,256,24,2020-04-21
"322","United Kingdom","Falkland Islands (Malvinas)",11,3,0,2020-04-21
"323","United Kingdom","Gibraltar",132,120,0,2020-04-21
"324","United Kingdom","Isle of Man",307,209,9,2020-04-21
"325","United Kingdom","Montserrat",11,2,0,2020-04-21
"326","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-21
"327","Germany","",148291,95200,5033,2020-04-21
"328","Italy","",183957,51600,24648,2020-04-21
"329","Switzerland","",28063,19400,1478,2020-04-21
"330","United Kingdom","",129044,0,17337,2020-04-21
"331","United Kingdom","Anguilla",3,1,0,2020-04-22
"332","United Kingdom","Bermuda",99,39,5,2020-04-22
"333","United Kingdom","British Virgin Islands",5,3,1,2020-04-22
"334","United Kingdom","Cayman Islands",66,7,1,2020-04-22
"335","United Kingdom","Channel Islands",498,285,28,2020-04-22
"336","United Kingdom","Falkland Islands (Malvinas)",11,3,0,2020-04-22
"337","United Kingdom","Gibraltar",132,127,0,2020-04-22
"338","United Kingdom","Isle of Man",307,212,15,2020-04-22
"339","United Kingdom","Montserrat",11,2,0,2020-04-22
"340","United Kingdom","Turks and Caicos Islands",11,4,1,2020-04-22
"341","Germany","",150648,99400,5279,2020-04-22
"342","Italy","",187327,54543,25085,2020-04-22
"343","Switzerland","",28268,19900,1509,2020-04-22
"344","United Kingdom","",133495,0,18100,2020-04-22
"345","United Kingdom","Anguilla",3,1,0,2020-04-23
"346","United Kingdom","Bermuda",99,39,5,2020-04-23
"347","United Kingdom","British Virgin Islands",5,3,1,2020-04-23
"348","United Kingdom","Cayman Islands",66,7,1,2020-04-23
"349","United Kingdom","Channel Islands",521,295,29,2020-04-23
"350","United Kingdom","Falkland Islands (Malvinas)",12,11,0,2020-04-23
"351","United Kingdom","Gibraltar",133,129,0,2020-04-23
"352","United Kingdom","Isle of Man",307,221,16,2020-04-23
"353","United Kingdom","Montserrat",11,2,0,2020-04-23
"354","United Kingdom","Turks and Caicos Islands",11,4,1,2020-04-23
"355","Germany","",153129,103300,5575,2020-04-23
"356","Italy","",189973,57576,25549,2020-04-23
"357","Switzerland","",28496,20600,1549,2020-04-23
"358","United Kingdom","",138078,0,18738,2020-04-23
"359","United Kingdom","Anguilla",3,1,0,2020-04-24
"360","United Kingdom","Bermuda",99,39,5,2020-04-24
"361","United Kingdom","British Virgin Islands",5,3,1,2020-04-24
"362","United Kingdom","Cayman Islands",70,8,1,2020-04-24
"363","United Kingdom","Channel Islands",523,295,34,2020-04-24
"364","United Kingdom","Falkland Islands (Malvinas)",13,11,0,2020-04-24
"365","United Kingdom","Gibraltar",133,131,0,2020-04-24
"366","United Kingdom","Isle of Man",308,230,18,2020-04-24
"367","United Kingdom","Montserrat",11,2,1,2020-04-24
"368","United Kingdom","Turks and Caicos Islands",11,4,1,2020-04-24
"369","Germany","",154999,109800,5760,2020-04-24
"370","Italy","",192994,60498,25969,2020-04-24
"371","Switzerland","",28677,21000,1589,2020-04-24
"372","United Kingdom","",143464,0,19506,2020-04-24
"373","United Kingdom","Anguilla",3,1,0,2020-04-25
"374","United Kingdom","Bermuda",109,39,5,2020-04-25
"375","United Kingdom","British Virgin Islands",6,3,1,2020-04-25
"376","United Kingdom","Cayman Islands",70,8,1,2020-04-25
"377","United Kingdom","Channel Islands",525,332,35,2020-04-25
"378","United Kingdom","Falkland Islands (Malvinas)",13,11,0,2020-04-25
"379","United Kingdom","Gibraltar",136,131,0,2020-04-25
"380","United Kingdom","Isle of Man",308,243,18,2020-04-25
"381","United Kingdom","Montserrat",11,2,1,2020-04-25
"382","United Kingdom","Turks and Caicos Islands",11,4,1,2020-04-25
"383","Germany","",156513,109800,5877,2020-04-25
"384","Italy","",195351,63120,26384,2020-04-25
"385","Switzerland","",28894,21300,1599,2020-04-25
"386","United Kingdom","",148377,0,20319,2020-04-25
"387","United Kingdom","Anguilla",3,1,0,2020-04-26
"388","United Kingdom","Bermuda",109,39,5,2020-04-26
"389","United Kingdom","British Virgin Islands",6,3,1,2020-04-26
"390","United Kingdom","Cayman Islands",70,8,1,2020-04-26
"391","United Kingdom","Channel Islands",525,332,35,2020-04-26
"392","United Kingdom","Falkland Islands (Malvinas)",13,11,0,2020-04-26
